Date,close
20240306,503.24
20240307,508.3
20240308,508.72
20240311,510.74
20240312,508.96
20240313,508.12
20240314,508.88
20240315,510.56
20240318,506.76
20240319,508.04
20240320,508.26
20240321,518.18
20240322,515.1
20240325,516.12
20240326,517.08
20240328,522.4
20240329,533.76
20240401,536.46
20240402,537.4
20240403,544.12
20240408,557.4
20240409,559.7
20240410,561.7
20240411,558.38
20240412,573.38
20240415,566.98
20240416,570.04
20240417,570.86
20240418,568.6
20240419,571.58
20240422,561.6
20240423,548.24
20240424,554.92
20240425,555.3
20240426,559.48
20240429,556.34
20240506,551.44
20240507,553.24
20240508,552.2
20240510,564.96
20240513,561.44
20240514,558.9
20240515,562.86
20240516,568.4
20240517,568.94
20240520,583
20240521,576.28
20240522,577.34
20240523,564.36
20240527,560.32
20240529,563.96
20240530,558.7
20240531,561.2
20240603,555.22
20240604,560.04
20240605,557.18
20240606,565.8
20240607,565.88
20240612,552.08
20240613,552.2
20240614,551.88
20240617,553.2
20240618,553.96
20240619,556.02
20240620,560.8
20240621,563.36
20240624,555.14
20240625,556.28
20240626,552.32
20240628,555.46
20240701,555.6
20240702,556.62
20240703,560.02
20240704,562.64
20240708,565.2
20240709,563.12
20240710,565.58
20240711,567.62
20240712,570.76
20240715,570.6
20240716,576.94
20240717,583.56
20240718,583.46
20240719,568
20240722,567.48
20240723,564.78
20240724,571.9
20240725,557.34
20240726,559.42
20240729,563.38
20240730,564.2
20240731,568.34
20240801,572.96
20240802,575.86
20240805,561.8
20240807,557.74
20240808,557.52
20240809,562.24
20240812,566.98
20240813,571.02
20240814,570
20240815,568.74
20240819,575.62
20240820,576.2
20240821,578
20240822,576.32
20240823,574.42
20240827,577.9
20240828,577.1
20240829,576.94
20240830,575.9
20240902,572.62
20240903,573.82
20240905,573.72
20240906,575.54
20240909,571
20240910,575.08
20240911,577.9
20240912,577
20240913,585.44
20240918,584.78
20240919,583.88
20240920,590.62
20240923,595.14
20240924,594.24
20240925,598.36
20240926,599.9
20240930,596.72
20241008,596.22
20241009,588.56
20241010,590.7
20241011,597.38
20241014,603.3
20241015,603.64
20241016,611.98
20241017,614.26
20241018,619.06
20241021,625.82
20241022,626.5
20241023,629.96
20241024,624.54
20241025,624.72
20241028,626.58
20241029,631.8
20241030,638.62
20241101,629.72
20241104,625.38
20241105,625.02
20241107,611.32
20241108,615.48
20241111,615.78
20241112,605.66
20241113,604.46
20241114,593.1
20241115,593.3
20241118,600.6
20241119,609.84
20241120,610.6
20241121,617.7
20241122,625.44
20241125,616.94
