T,K,CTMC_American,CTMC_European,CTMC_EEP,CTMC_EEP%,CTMC_Time_s,MC_LS_American,MC_LS_SE,MC_LS_Time_s,Diff
0.25,90,0.893,0.8547,0.0383,4.48,13.38,0.8681,0.0114,0.69,0.0249
0.25,95,1.9475,1.887,0.0605,3.21,13.616,1.8746,0.0168,0.813,0.0728
0.25,100,3.7989,3.6997,0.0993,2.68,13.642,3.6156,0.0216,1.006,0.1833
0.25,105,6.6763,6.4994,0.1769,2.72,13.884,6.4018,0.0255,1.11,0.2745
0.25,110,10.6051,10.2807,0.3244,3.16,13.644,10.1725,0.0218,1.124,0.4326
0.5,90,1.8453,1.6917,0.1536,9.08,13.564,1.8035,0.019,0.73,0.0418
0.5,95,3.1846,2.96,0.2246,7.59,13.297,3.0637,0.0247,0.861,0.1209
0.5,100,5.1501,4.8365,0.3136,6.48,13.585,4.9175,0.0296,1.016,0.2326
0.5,105,7.8615,7.4282,0.4334,5.83,13.665,7.46,0.0327,1.115,0.4016
0.5,110,11.3608,10.758,0.6028,5.6,13.716,10.8217,0.0316,1.203,0.5391
1.0,90,3.2326,2.8458,0.3868,13.59,13.639,3.2701,0.0294,0.828,-0.0375
1.0,95,4.8513,4.3069,0.5445,12.64,13.546,4.6832,0.0344,0.966,0.1681
1.0,100,6.963,6.2349,0.7282,11.68,13.586,6.5591,0.0385,1.02,0.4039
1.0,105,9.6105,8.6721,0.9385,10.82,13.751,8.9802,0.0419,1.138,0.6303
1.0,110,12.8098,11.6277,1.1821,10.17,13.722,11.954,0.0423,1.127,0.8558
