Parameter,Value,CTMC_American,CTMC_European,Analytical_EU,EEP
lambda,0.0,6.8436,6.1132,6.3307,0.7304
lambda,0.05,6.9035,6.1751,6.2793,0.7283
lambda,0.1,6.9629,6.2366,6.2289,0.7263
lambda,0.2,7.0802,6.3579,6.1312,0.7223
lambda,0.3,7.1956,6.4773,6.0374,0.7184
lambda,0.5,7.421,6.7105,5.8599,0.7105
mu_J,-0.2,7.2838,6.559,5.9,0.7248
mu_J,-0.1,7.0334,6.3065,6.1516,0.727
mu_J,-0.05,6.9629,6.2366,6.2289,0.7263
mu_J,0.0,6.9343,6.2109,6.2726,0.7234
mu_J,0.05,6.9478,6.231,6.289,0.7168
sigma_J,0.05,6.8944,6.1654,6.2898,0.729
sigma_J,0.1,6.9629,6.2366,6.2289,0.7263
sigma_J,0.15,7.0597,6.3401,6.1552,0.7196
sigma_J,0.2,7.1739,6.4652,6.088,0.7087
sigma_J,0.3,7.4306,6.7503,5.9937,0.6803
