Phase,T,K,CTMC_SVJ,SVJ_Analytical,Heston_Analytical,Abs_Error,Rel_Error_%,CTMC_Jump_Effect,Analytical_Jump_Effect
SVJ,0.5,90,1.691154,1.128305,1.176222,0.562849,49.8845,0.514932,-0.047917
SVJ,0.5,95,2.959429,2.507706,2.565317,0.451723,18.0134,0.394112,-0.057611
SVJ,0.5,100,4.836022,4.682384,4.752499,0.153638,3.2812,0.083523,-0.070115
SVJ,0.5,105,7.42782,7.706394,7.788586,0.278574,3.6148,-0.360766,-0.082192
SVJ,0.5,110,10.757874,11.434142,11.518234,0.676267,5.9145,-0.760359,-0.084092
SVJ,1.0,90,2.844924,2.33701,2.400541,0.507914,21.7335,0.444384,-0.06353
SVJ,1.0,95,4.30596,3.990052,4.069991,0.315908,7.9174,0.23597,-0.079938
SVJ,1.0,100,6.234019,6.228926,6.330703,0.005092,0.0817,-0.096685,-0.101777
SVJ,1.0,105,8.671361,9.063876,9.19044,0.392515,4.3305,-0.519079,-0.126564
SVJ,1.0,110,11.627237,12.43443,12.58207,0.807193,6.4916,-0.954833,-0.14764
